Reading dataset
Processing images into graphs... Took 160.13389039039612s
1.4931	50.00%	2 (x6)
1.6860	31.25%	0 (x10)
1.4476	56.25%	1 (x10)
1.3641	43.75%	1 (x7)
1.4949	56.25%	1 (x7)
1.6115	43.75%	3 (x6)
1.7361	31.25%	4 (x9)
1.5919	40.62%	4 (x9)
1.4115	43.75%	7 (x9)
1.5496	34.38%	3 (x7)
1.4625	46.88%	4 (x7)
1.5077	31.25%	2 (x8)
1.5034	50.00%	2 (x7)
1.3871	43.75%	2 (x9)
1.5382	37.50%	3 (x7)
1.8987	43.75%	9 (x8)
1.4719	53.12%	1 (x5)
1.3198	56.25%	5 (x9)
1.4230	62.50%	0 (x6)
1.3080	65.62%	1 (x7)
1.4399	50.00%	5 (x8)
1.5099	50.00%	0 (x7)
1.5903	43.75%	0 (x7)
1.4371	50.00%	5 (x10)
1.6769	50.00%	9 (x8)
1.3972	40.62%	2 (x9)
1.3260	56.25%	1 (x12)
1.4964	43.75%	5 (x9)
1.6062	31.25%	4 (x9)
1.5501	40.62%	5 (x10)
1.4625	40.62%	4 (x13)
1.5161	37.50%	1 (x9)
1.3860	34.38%	4 (x10)
1.4314	43.75%	4 (x10)
1.5619	34.38%	4 (x9)
1.6657	31.25%	4 (x15)
1.2397	56.25%	2 (x6)
1.6010	34.38%	2 (x7)
1.5568	43.75%	4 (x6)
1.5102	50.00%	2 (x8)
1.3216	50.00%	2 (x12)
1.4527	53.12%	2 (x10)
1.1643	56.25%	2 (x10)
1.3949	43.75%	2 (x13)
1.4433	53.12%	2 (x11)
1.3213	62.50%	2 (x11)
1.7135	37.50%	1 (x9)
1.1475	59.38%	1 (x9)
1.4099	43.75%	2 (x13)
1.3415	50.00%	2 (x8)
1.1501	59.38%	5 (x7)
1.4965	34.38%	9 (x6)
1.4971	40.62%	9 (x9)
1.5614	31.25%	5 (x11)
1.5253	37.50%	6 (x6)
1.0858	65.62%	7 (x7)
1.2649	46.88%	4 (x7)
1.3558	50.00%	1 (x8)
1.3932	53.12%	4 (x8)
1.4243	53.12%	4 (x5)
1.3862	37.50%	4 (x8)
1.2225	56.25%	5 (x7)
1.1611	56.25%	1 (x5)
1.3861	46.88%	3 (x8)
1.3382	50.00%	3 (x7)
1.2446	59.38%	5 (x8)
1.2301	65.62%	2 (x10)
1.3167	43.75%	9 (x7)
1.3579	43.75%	2 (x8)
1.1997	59.38%	9 (x10)
1.1998	50.00%	2 (x8)
1.6712	40.62%	6 (x9)
1.4744	50.00%	5 (x5)
1.3445	43.75%	5 (x7)
1.4242	43.75%	1 (x5)
1.2764	56.25%	1 (x7)
1.3408	40.62%	1 (x10)
1.4429	46.88%	4 (x10)
1.4259	43.75%	4 (x9)
1.3189	34.38%	4 (x11)
1.3069	65.62%	0 (x7)
1.1946	56.25%	0 (x6)
1.3855	50.00%	6 (x10)
1.5241	50.00%	0 (x6)
1.1491	59.38%	9 (x8)
1.8784	31.25%	0 (x10)
1.3097	56.25%	0 (x7)
1.0690	53.12%	0 (x7)
1.5197	46.88%	7 (x9)
1.0609	59.38%	0 (x7)
1.1905	40.62%	5 (x6)
1.1052	56.25%	7 (x7)
1.5007	46.88%	7 (x8)
1.2735	46.88%	2 (x10)
1.2924	62.50%	2 (x8)
1.2665	53.12%	2 (x10)
1.2186	43.75%	2 (x11)
1.3479	43.75%	2 (x11)
1.0690	56.25%	2 (x8)
1.1116	46.88%	9 (x8)
1.3666	37.50%	0 (x6)
1.1787	46.88%	7 (x6)
1.5828	40.62%	0 (x8)
1.2716	50.00%	7 (x8)
1.3121	53.12%	0 (x9)
1.3732	50.00%	0 (x8)
1.1458	56.25%	0 (x6)
1.2961	53.12%	0 (x10)
1.3148	59.38%	2 (x7)
0.9867	75.00%	1 (x5)
1.1043	78.12%	2 (x6)
1.3324	43.75%	0 (x8)
1.2918	37.50%	2 (x8)
1.2504	59.38%	5 (x7)
1.1607	53.12%	0 (x7)
1.2721	53.12%	0 (x10)
1.0177	65.62%	2 (x7)
1.3387	56.25%	2 (x11)
1.0027	62.50%	2 (x9)
1.4247	43.75%	2 (x7)
1.1312	62.50%	2 (x10)
1.2747	46.88%	2 (x8)
1.4220	46.88%	1 (x9)
1.0976	50.00%	2 (x11)
1.3351	40.62%	1 (x8)
1.2752	53.12%	1 (x6)
1.1809	50.00%	9 (x8)
1.2606	59.38%	4 (x8)
1.3970	46.88%	7 (x8)
1.5674	40.62%	4 (x6)
1.0467	56.25%	7 (x6)
0.9608	62.50%	1 (x9)
1.1992	53.12%	1 (x7)
1.1918	56.25%	0 (x6)
1.3468	53.12%	0 (x11)
1.2775	40.62%	0 (x9)
1.2084	53.12%	0 (x6)
1.0164	68.75%	8 (x6)
1.3773	59.38%	8 (x6)
1.2107	56.25%	3 (x5)
1.0216	62.50%	5 (x8)
1.2785	37.50%	2 (x7)
1.2038	59.38%	4 (x7)
1.3956	59.38%	9 (x7)
1.1672	53.12%	4 (x6)
1.1057	46.88%	5 (x9)
1.2558	40.62%	1 (x8)
0.9599	59.38%	5 (x8)
1.0236	71.88%	0 (x6)
1.3418	43.75%	0 (x7)
0.9991	68.75%	0 (x7)
1.1871	50.00%	0 (x9)
1.3525	34.38%	0 (x13)
1.4403	37.50%	0 (x8)
0.9195	68.75%	3 (x7)
1.0562	56.25%	2 (x7)
1.2397	56.25%	2 (x6)
1.1368	50.00%	1 (x10)
1.0547	53.12%	1 (x10)
1.2013	65.62%	0 (x5)
1.1947	53.12%	7 (x6)
1.1870	56.25%	1 (x9)
0.8853	71.88%	1 (x9)
1.2160	65.62%	1 (x7)
1.2444	37.50%	5 (x10)
1.3868	53.12%	1 (x9)
1.0563	68.75%	4 (x6)
1.2264	53.12%	2 (x9)
1.5187	46.88%	2 (x9)
1.1241	43.75%	2 (x10)
1.0918	59.38%	2 (x14)
1.0797	65.62%	9 (x10)
1.0281	56.25%	2 (x12)
1.2130	56.25%	9 (x8)
1.1576	56.25%	1 (x11)
1.0641	59.38%	2 (x11)
1.0110	71.88%	1 (x6)
1.1874	50.00%	0 (x14)
1.1417	59.38%	2 (x8)
1.2962	53.12%	5 (x6)
0.9985	68.75%	3 (x7)
1.1766	43.75%	3 (x8)
1.2010	50.00%	3 (x6)
1.2510	53.12%	0 (x6)
1.2398	50.00%	0 (x7)
1.0946	65.62%	2 (x7)
